,bedroomcnt,bathroomcnt,calculatedfinishedsquarefeet,yearbuilt,fips,regionidzip,tax_value_2016,tax_amount_2016,tax_value,tax_amount
0,4.0,3.5,3100.0,1998.0,6059.0,96978.0,1007912.0,11013.72,1023282.0,11013.72
1,2.0,1.0,1465.0,1967.0,6111.0,97099.0,452000.0,5573.12,464000.0,5672.48
2,3.0,2.0,1243.0,1962.0,6059.0,97078.0,556295.0,6488.3,564778.0,6488.3
3,4.0,3.0,2376.0,1970.0,6037.0,96330.0,142963.0,1777.51,145143.0,1777.51
4,4.0,3.0,2962.0,1950.0,6037.0,96293.0,761688.0,9516.26,773303.0,9516.26
5,2.0,1.0,738.0,1922.0,6037.0,96325.0,215270.0,2366.08,218552.0,2366.08
6,4.0,3.0,3039.0,1970.0,6037.0,96173.0,217271.0,3104.19,220583.0,3104.19
7,4.0,3.0,2540.0,1999.0,6037.0,96374.0,423648.0,6103.36,430108.0,6103.36
8,3.0,2.5,1340.0,1980.0,6059.0,97051.0,314867.0,4078.08,319668.0,4078.08
9,3.0,2.5,1371.0,2004.0,6111.0,97107.0,195082.0,2238.6,198054.0,2204.84
10,4.0,2.0,1677.0,1981.0,6059.0,96962.0,520904.0,5496.44,528847.0,5496.44
11,2.0,1.0,1146.0,1939.0,6037.0,96003.0,269634.0,3739.02,273745.0,3739.02
12,3.0,2.5,2074.0,1978.0,6059.0,96971.0,588243.0,6172.28,597213.0,6172.28
13,3.0,2.5,2018.0,1998.0,6059.0,96954.0,526582.0,7141.56,534612.0,7141.56
14,2.0,1.0,1316.0,1908.0,6037.0,96018.0,169258.0,2220.23,171838.0,2220.23
15,3.0,1.0,1641.0,1944.0,6037.0,96237.0,917982.0,5212.75,432754.0,5212.75
16,6.0,4.5,3870.0,1972.0,6059.0,96957.0,906522.0,21758.26,2040000.0,21758.26
17,3.0,2.0,1538.0,1972.0,6037.0,96352.0,395370.0,5438.41,401399.0,5438.41
18,3.0,2.0,1851.0,1920.0,6037.0,96008.0,83759.0,1232.08,85035.0,1232.08
19,2.0,3.0,3230.0,1967.0,6059.0,97005.0,939775.0,10696.14,954106.0,10696.14
20,4.0,3.0,2447.0,1967.0,6037.0,96122.0,1083000.0,12371.76,1083000.0,12371.76
21,4.0,2.5,1987.0,1989.0,6059.0,97067.0,692566.0,8287.36,703127.0,8287.36
22,3.0,3.0,3641.0,1980.0,6037.0,96116.0,1422555.0,16542.97,1444248.0,16542.97
23,5.0,4.0,3572.0,1967.0,6037.0,96271.0,1450954.0,17643.27,1473080.0,17643.27
24,4.0,2.5,1979.0,1977.0,6059.0,96954.0,788000.0,8138.06,800017.0,8138.06
25,3.0,3.0,2637.0,1952.0,6037.0,96349.0,820712.0,10149.06,833227.0,10149.06
26,5.0,2.0,1818.0,1948.0,6037.0,96450.0,163929.0,2196.73,166428.0,2196.73
27,4.0,3.0,3160.0,1941.0,6037.0,96447.0,681425.0,8451.5,691816.0,8451.5
28,2.0,2.0,1529.0,1928.0,6037.0,96000.0,582000.0,7999.31,657099.0,7999.31
29,3.0,2.0,1447.0,1901.0,6037.0,96291.0,69693.0,1050.39,70755.0,1050.39
30,3.0,1.0,872.0,1922.0,6037.0,96133.0,245178.0,3557.65,248916.0,3557.65
31,4.0,5.0,5492.0,2006.0,6037.0,96486.0,1786757.0,20454.76,1814004.0,20454.76
32,4.0,3.0,2317.0,1953.0,6037.0,96361.0,305168.0,3896.48,309821.0,3896.48
33,4.0,5.0,4468.0,2007.0,6059.0,96983.0,1279000.0,19822.16,1279000.0,19822.16
34,3.0,2.5,1734.0,2000.0,6059.0,96998.0,603000.0,9013.36,638000.0,9013.36
35,3.0,2.0,1815.0,1958.0,6037.0,96414.0,101742.0,1498.58,103293.0,1498.58
36,2.0,1.0,609.0,1948.0,6037.0,96464.0,159883.0,2251.73,162320.0,2251.73
37,3.0,3.0,2380.0,1991.0,6037.0,96517.0,644452.0,7676.28,654279.0,7676.28
38,4.0,4.0,3415.0,1999.0,6059.0,96983.0,570361.0,9018.36,579059.0,9018.36
39,2.0,2.0,1367.0,2014.0,6059.0,96982.0,688919.0,8272.94,815542.0,8272.94
40,2.0,2.0,1814.0,1962.0,6037.0,96241.0,305460.0,3749.29,310117.0,3749.29
41,2.0,1.0,928.0,1948.0,6037.0,96488.0,237995.0,3083.24,241624.0,3083.24
42,3.0,2.0,1463.0,1984.0,6037.0,96522.0,197712.0,3015.21,200726.0,3015.21
43,3.0,2.0,1481.0,1962.0,6059.0,96961.0,597533.0,6760.54,606645.0,6760.54
44,4.0,2.0,1625.0,1956.0,6037.0,96370.0,95639.0,1307.93,97097.0,1307.93
45,5.0,6.5,9586.0,1992.0,6059.0,96987.0,3570000.0,38491.98,3624442.0,38491.98
46,2.0,1.0,812.0,1917.0,6037.0,96366.0,40135.0,668.7,40746.0,668.7
47,3.0,3.0,2406.0,1979.0,6037.0,96387.0,596445.0,7345.85,605540.0,7345.85
48,2.0,1.0,776.0,1946.0,6037.0,96361.0,162361.0,2086.91,164836.0,2086.91
49,3.0,2.0,1059.0,1955.0,6037.0,96507.0,184310.0,2481.45,187119.0,2481.45
50,2.0,1.0,1046.0,1885.0,6037.0,96506.0,262000.0,3002.3,232000.0,3002.3
51,5.0,4.0,5900.0,1989.0,6037.0,96522.0,726321.0,8924.13,737397.0,8924.13
52,5.0,5.0,5823.0,1998.0,6037.0,96494.0,840026.0,10295.58,852836.0,10295.58
53,3.0,2.0,1457.0,1944.0,6037.0,96212.0,329102.0,4033.54,334119.0,4033.54
54,4.0,4.0,3721.0,1963.0,6037.0,96337.0,1270224.0,14745.19,1289594.0,14745.19
55,3.0,2.0,1152.0,1971.0,6059.0,97078.0,215228.0,2800.12,218510.0,2800.12
56,3.0,2.0,1607.0,1939.0,6037.0,96049.0,948764.0,11648.69,963231.0,11648.69
57,3.0,2.5,2283.0,2006.0,6059.0,97018.0,719526.0,13310.5,730498.0,13310.5
58,2.0,1.0,1027.0,1951.0,6037.0,96229.0,48298.0,1179.11,49034.0,1179.11
59,5.0,3.0,2453.0,1999.0,6059.0,97079.0,466177.0,5764.04,473286.0,5764.04
60,2.0,1.0,1121.0,1940.0,6037.0,96437.0,71773.0,823.25,72867.0,823.25
61,2.0,1.0,847.0,1938.0,6037.0,95983.0,211135.0,2877.86,214354.0,2877.86
62,4.0,2.0,1266.0,1961.0,6059.0,96185.0,458991.0,5387.9,465990.0,5387.9
63,2.0,1.0,1070.0,1937.0,6037.0,96025.0,139565.0,1862.11,141693.0,1862.11
64,3.0,1.5,1360.0,1971.0,6059.0,97005.0,261275.0,3084.94,265259.0,3084.94
65,2.0,2.0,1810.0,1956.0,6037.0,96058.0,142516.0,1874.26,144688.0,1874.26
66,3.0,2.0,1244.0,1954.0,6037.0,96450.0,196425.0,2439.72,199420.0,2439.72
67,5.0,3.0,2468.0,1966.0,6059.0,97063.0,533001.0,5865.88,541129.0,5865.88
68,3.0,2.5,3011.0,1973.0,6059.0,96978.0,1419604.0,15474.04,1441252.0,15474.04
69,3.0,3.0,2581.0,1939.0,6037.0,96452.0,1054275.0,12873.95,1070352.0,12873.95
70,3.0,2.5,1270.0,1973.0,6059.0,96983.0,490361.0,5619.36,553311.0,5619.36
71,3.0,3.0,2007.0,1963.0,6059.0,97068.0,623612.0,7510.5,633122.0,7510.5
72,3.0,1.0,1040.0,1923.0,6037.0,95984.0,230800.0,2954.12,234319.0,2954.12
73,3.0,1.0,968.0,1951.0,6037.0,96280.0,36652.0,1092.39,37210.0,1092.39
74,3.0,2.0,1731.0,1963.0,6059.0,97068.0,72638.0,1353.42,73745.0,1353.42
75,4.0,2.0,1623.0,1929.0,6059.0,97003.0,309257.0,3771.54,313973.0,3771.54
76,3.0,3.0,3172.0,1966.0,6037.0,96389.0,684173.0,8721.26,700000.0,8721.26
77,3.0,1.0,1206.0,1954.0,6037.0,96208.0,51973.0,904.65,52764.0,904.65
78,3.0,2.0,1560.0,1950.0,6059.0,97024.0,55217.0,893.42,56059.0,893.42
79,4.0,3.0,1908.0,2006.0,6037.0,97318.0,143268.0,2397.79,145452.0,2397.79
80,5.0,2.0,1901.0,1950.0,6037.0,96101.0,581000.0,7736.4,635000.0,7736.4
81,3.0,2.0,1384.0,1955.0,6059.0,97041.0,283865.0,3468.2,288193.0,3468.2
82,4.0,2.0,1482.0,1972.0,6059.0,97068.0,285640.0,3704.28,289996.0,3704.28
83,4.0,2.5,1658.0,1974.0,6059.0,97068.0,203266.0,2795.12,206365.0,2795.12
84,2.0,1.0,480.0,1926.0,6059.0,96186.0,13610.0,419.86,13817.0,419.86
85,3.0,2.0,1441.0,1955.0,6059.0,96186.0,310931.0,3619.3,315672.0,3619.3
86,3.0,2.0,1270.0,1985.0,6037.0,96398.0,277995.0,4010.58,282233.0,4010.58
87,4.0,2.0,1392.0,1969.0,6111.0,97089.0,414209.0,4509.84,420525.0,4557.52
88,1.0,1.0,455.0,1922.0,6059.0,97003.0,84858.0,1305.58,86152.0,1305.58
89,5.0,3.0,3245.0,1988.0,6037.0,96522.0,1274975.0,15704.91,1294418.0,15704.91
90,3.0,2.0,1270.0,1957.0,6111.0,96384.0,76408.0,1400.3,77571.0,1450.06
91,2.0,2.0,1353.0,1956.0,6037.0,96192.0,130519.0,2310.56,132508.0,2310.56
92,4.0,3.0,2342.0,1978.0,6111.0,97091.0,381828.0,4094.84,387648.0,4139.18
93,5.0,3.0,2468.0,1965.0,6059.0,97005.0,694992.0,7953.14,705590.0,7953.14
94,5.0,4.5,3543.0,1996.0,6059.0,96989.0,494494.0,5335.62,502035.0,5335.62
95,4.0,3.0,3107.0,1957.0,6037.0,96349.0,1259912.0,15508.64,1279125.0,15508.64
96,3.0,1.0,1295.0,1940.0,6037.0,96136.0,189124.0,3017.49,192008.0,3017.49
97,3.0,2.0,1440.0,1956.0,6037.0,96369.0,82954.0,1078.3,84218.0,1078.3
98,3.0,2.0,1632.0,1960.0,6037.0,96486.0,631600.0,7317.86,631600.0,7317.86
99,4.0,3.0,2521.0,1971.0,6037.0,96206.0,126936.0,1708.9,128871.0,1708.9
100,3.0,2.0,1346.0,1965.0,6111.0,97106.0,203803.0,2433.26,206909.0,2409.36
101,4.0,3.0,2088.0,1975.0,6037.0,96378.0,521000.0,6942.22,521000.0,6942.22
102,4.0,2.0,1966.0,1960.0,6037.0,96342.0,412998.0,5244.97,419295.0,5244.97
103,3.0,3.0,2728.0,1987.0,6111.0,97106.0,777327.0,10135.54,789179.0,10035.88
104,3.0,2.0,1499.0,1947.0,6037.0,96293.0,81555.0,1179.62,82798.0,1179.62
105,4.0,2.0,1570.0,1958.0,6037.0,96342.0,245866.0,3136.84,249614.0,3136.84
106,4.0,3.0,2880.0,1966.0,6059.0,96995.0,328429.0,3382.26,333437.0,3382.26
107,3.0,1.0,1080.0,1948.0,6037.0,96414.0,59722.0,771.77,60632.0,771.77
108,3.0,6.0,4664.0,1936.0,6037.0,96426.0,2125019.0,26237.34,2157425.0,26237.34
109,4.0,3.0,3304.0,1989.0,6111.0,97107.0,516921.0,6402.16,524802.0,6315.22
110,3.0,2.0,1929.0,1988.0,6037.0,96522.0,398566.0,5133.61,404643.0,5133.61
111,2.0,2.0,2294.0,1985.0,6059.0,96983.0,433191.0,4470.66,439797.0,4470.66
112,4.0,2.0,1809.0,1929.0,6037.0,96020.0,870918.0,10606.78,884199.0,10606.78
113,4.0,3.0,3215.0,2004.0,6037.0,96401.0,579800.0,10207.09,579800.0,10207.09
114,3.0,2.0,1558.0,1984.0,6037.0,96506.0,479500.0,6618.75,515000.0,6618.75
115,3.0,2.0,1938.0,1971.0,6059.0,96969.0,380115.0,4724.2,385911.0,4724.2
116,3.0,3.0,3136.0,1990.0,6059.0,96982.0,879453.0,8984.56,892864.0,8984.56
117,3.0,1.0,1306.0,1930.0,6037.0,96137.0,76844.0,1298.59,78015.0,1298.59
118,2.0,1.0,1502.0,1935.0,6037.0,96024.0,307573.0,3920.73,312262.0,3920.73
119,4.0,2.0,2016.0,1969.0,6059.0,97078.0,630000.0,7377.86,639607.0,7377.86
120,3.0,3.0,2960.0,1966.0,6037.0,96494.0,299062.0,3726.03,303621.0,3726.03
121,4.0,3.0,2379.0,1977.0,6059.0,96956.0,612951.0,7150.06,622298.0,7150.06
122,3.0,2.0,1363.0,1912.0,6037.0,96531.0,497750.0,6187.76,516832.0,6187.76
